start	end	text
0	9420	Eu entendo, eu estou quase no final na metade, eu acho, do seu áudio, concordam bastante
9420	20960	coisas que você trouxe, mas é justamente não ser e não fazer o que todo mundo está fazendo.
20960	29760	Se você perceber nos textos, eu uso a crítica, fazer a pessoa pensar, olhar para aquele
29760	35280	assunto, que às vezes pode até servir algo, como por exemplo, brasileiro, torcendo para
35280	41400	a gentina, na final da Copa. É assunto de vários dias em todos os meus postes, eu
41400	47000	trago uma mensagem, uma reflexão. Eu não quero fazer o que todo mundo está fazendo.
47000	52280	Lá no link é dinho, principalmente, todos estão usando esse perfil que você quer fazer
52280	62520	para mim. Eu vou trazer a solução, porque eu não estou vendendo imagem, como eu te disse.
62520	68880	O que Adriana entrega de valor? O que Adriana faz? O serviço de forma terceirizada,
68880	76520	que você não precisa ter uma equipe de SDR, BDR, operacional, que você pode terceirizar
76520	83840	por um preço melhor, com valor maior. Por quê? Porque eu conecto pessoas através da qualificação
83840	92280	do alquecimento de lides. Entende? Então eu já contei casos ali do que aconteceu com amigos.
92280	99160	Se você lê e for buscar os meus textos, ali está vendendo o que eu entrego. Ali tem valor?
99200	106560	Você precisava, sua equipe disparou um milhão de meio, que nem o Paulo cansava ali de falar.
106560	110320	Aí tem que disparar um milhão de meio, que não sei o que. Não, as pessoas não querem.
110320	118280	Quem entende de venda consultiva e é o que eu faço, você gasta tempo criando o relacionamento
118280	124360	com o cliente para depois vender. Isso é venda consultiva. Eu não vou vender para todo mundo.
124360	130520	Pelo contrário, eu não estou vendendo para todo mundo ali. Ali eu falo de milhares de assunto
130520	137280	e trago a proposta da pessoa pensar, da pessoa olhar diferente. É o meu jeito de escrever.
137280	143120	Eu gosto de escrever desse jeito. Eu não quero escrever igual a todo mundo. Entrar de postar,
143120	148240	que conta aquela lá da inenha, fazer aquela pergunta de chamada passão. Isso daí já está
148240	153760	ultrapassado em venda. Nos cursos que eu tenho feito, na faculdade de gestão comercial,
153760	159040	está ultrapassado. As pessoas estão cansada. Por que ninguém consegue prender a atenção?
159040	165360	O link é a gente distribuir. O link é a gente distribuir se você consegue manter as pessoas
165360	173800	lendo que você escreveu. Se você consegue chamar para a pessoa comentar no seu poste, se você
173800	181160	consegue prender a atenção. Hoje tem tudo que consegue prender a atenção. E não é um
181160	189160	vídeozinho babaca que todo mundo está fazendo. Não é aquela cópia malfeita da ideia de alguém.
189160	198320	É a autentidade. É isso que eu entro e tento. E gosto de conversar com pessoas inteligentes com você,
198320	204640	onde eu aprendo, onde eu saio da conversa, melhor do que eu entrei. Onde a pessoa faz
204640	209600	eu pensar e analisar, se é aquilo que eu estou olhando do meu jeito, realmente está correto.
209600	215280	Porque o que você acabou de falar pode ser que para outras pessoas estão passando, mas para quais
215280	222840	pessoas? Quais opiniões vão fazer a importância para mim? As pessoas que estão preocupadas com
222840	228120	imagens, se é bonita, se é feia, se é nova, se é feita por ir. Se é azul, se é vermelho,
228120	237240	essas pessoas não vão comprar o meu produto. Elas não vão me contratar. Porque eu não sou garota,
237240	243400	propagando. Então eu não estou preocupada com o que pensa da minha imagem, se é azul. Então o que você
243400	251960	não deixa normal? Porque eu quero, deixado aquele jeito. Eu quero deixar. Eu não estou vendendo a imagem
251960	257720	nenhuma ali, só estou mais arrumado uma foto que qualquer pessoa vai fazer e que daqui um tempo você
257720	264520	vai me ver com aquela cara. A hora que eu tiver com aquela cara no natural, depois dos procedimentos.
264520	271480	E ir para um salão e ainda me arrumar, aí eu quero ver quem é que vai falar que não sou eu. Aí eu
271480	279960	quero voltar atrás dessas mesmas pessoas para hoje? Também reconhecendo? Não por maldade,
279960	286680	porque assim não tem sentido. É uma discussão que não vai fazer sentido, porque eu não li, eu não consigo
286680	293560	ligar onde é que a minha imagem está incomodando. Se ela tivesse desdentado ou não desdentada ou arrumada,
295160	299480	porque eu entrego melhor. Eu sempre aprendi na minha vida, no meu trabalho, que eu vou
299480	305880	entregar um melhor para as pessoas. E eu não estou vendo nada de errado que eu estou entregando todos os
305880	312600	trabalhos que eu consegui vender pela minha empresa, eu sempre entreguei o meu melhor. Em todos os lugares
312600	319240	que eu trabalhei presencialmente, eu sempre entreguei o meu maior, eu nunca tive problema com a minha imagem.
320840	327400	Eu não sei o que está incomodando, porque ela está muito bonita, ela está incomodando por que? Porque ela é
327400	334040	muito bonita? Qual que é o problema da minha imagem para aquilo que eu faço? Eu não consigo associar.
