start	end	text
0	4540	É que, de novo, eu estou ouvindo o seu áudio
4540	7540	e eu tenho o péssimo hábito de não terminar de ouvir
7540	9620	às vezes eu vou falar alguma besteira
9620	13680	que nem foi dita no áudio, que foi dita depois
13680	17240	mas eu gosto de responder na por parte, meu organismo melhor
17240	21000	então assim, não tem essa, não tem essa
21000	22880	a pessoa vai ver ela
22880	27500	mas eu não estou entendendo onde que a minha imagem vai entrar no serviço
27500	29840	e na página que eu ofereço
30520	34040	porque a página eu gosto, porque eu gosto de escrever
34040	37340	por mais que você jogue numa IAPA corrigir
37340	39540	pra organizar a sua ideia
39540	44840	a ideia original e aquilo que é escrito e corrigido e efeito por mim
44840	47340	porque eu não sou o Ctrl-C, Ctrl-V
47340	50620	eu discuto com a IAP, o argumento com ela
50620	55120	e aí eu finalizo um texto próximo daquele que eu busco
55120	59720	ela é a minha assistente, ela não pensa por mim, não extrave por mim
60000	62900	de maneira alguma, quantas vezes ela trouxe textos e mais textos
62900	65400	que não tem nada a ver com o que eu queria escrever
65400	67400	e eu não vou usar
68400	71400	concorda, então assim, ali
71400	76400	o meu trabalho de inteligência comercial é conectar pessoas
76400	83400	a mais você vai participar de network, não as pessoas que me conhecem, elas já me conhecem
84040	88720	é assim, é 23 mil pessoas, mas a grande maioria já me viu uma vez na vida
88720	92400	eu não aceito desconhecer, não aceito pessoas estranhas
92400	96600	é raro, só se for contato de algum contato meu
96600	100680	tanto que a minha conta ela é de aceitar
100680	105160	por que que o midente clique a dímpica é um lugar que você é você
105160	108600	quem tá ali me seguindo, tá me seguindo que eu gosto de alguma coisa em mim
108600	112200	e não é a beleza da foto
112200	117200	né, porque ali tem fácil negócio com várias pessoas
117680	122080	né, então assim, a imagem ali é o menor dos problemas
122080	126480	porque ela não, em nenhum momento ela entra, em nenhum momento ela atrapalha
126480	131880	Adriana dinâmica, inteligente, com todas essas tarefas que você encher
131880	134800	e mim ela tá aqui, essa que vai entregar o trabalho
134800	139080	não importa qual Adriana tá lá na foto, porque você não tá comprando a foto
139080	142080	tá comprando trabalho que eu entregar pra você
142320	147160	quando a pessoa me liga de vídeo, em nenhum momento acontece isso
147160	151560	por isso que eu estranho quando algumas pessoas insistem e batem nessa teca
151560	157360	porque para o meu trabalho tá surgindo as propostas e eu tô fazendo meus bicos
157360	161720	tanto que eu tô conseguindo pagar meu aluguel por conta dos meus bicos
161720	166880	sem precisar nem sequer tirar o pijama do corpo na minha casa
166880	170720	que se eu quiser ficar o dia inteiro trabalhando de pijama eu trabalho
170720	174040	porque assim a pessoa perde o orçamento
174040	177160	ela faz uma chamada de vídeo e explica o que ela quer
177160	180760	eu mando o esquema e entrega o papel
180760	185040	entrega o planilha, entrega o consultoria
185040	188040	eu não tô usando a minha imagem pra nada
190840	195000	agora as pessoas que querem usar a minha imagem como sempre fizeram o vida inteiro
195000	197760	não vão mais fazer isso
197760	199280	não vão
