start	end	text
0	8000	Vamos lá, eu estou no ponto que nem você falou que pra você é chato, que é uma imagem que não sou eu.
8000	16000	Aí eu vou ter que discordar de você em qual sentido. Não existe uma única mulher no mundo
16000	29000	por mais linda e maravilhosa que ela seja, que ela vai ficar igual a foto, ou com foto-shop, ou com filtro, ou com qualquer coisa
29000	35000	seja a bambam que vive da imagem e vamos pegar o martista e qualquer.
35000	42000	Então, isso hoje não tem, porque você não está me contratando com o modelo.
42000	47000	Então, a partir do momento que você está indo atrás de mim, por causa da minha imagem,
47000	53000	você realmente vai se frustrar tanto, não estou vender uma imagem, senão seria o modelo, capa de revista,
53000	60000	eu seria qualquer outra coisa. Eu quero entender isso, já falei que o meu psicólogo e tudo,
60000	68000	qual é a parte que as pessoas não entendem que sou eu, porque se você pegar, a minha foto,
68000	76000	eu sempre fui bem arrumado, sempre fui, eu posso não estar e eu posso estar com 50 e 1 anos.
76000	85000	Mas eu sempre fui, aquela pessoa ali, tanto sou eu, lógico que as fotos que eu uso por meus posts no link edim,
85000	100000	é dia, mas a maioria das minhas fotos é feita através de uma consulta que eu fiz de rejuvencimento facial,
100000	111000	rosto atual do jeito que você me conhece, foi pego colocado no projeto de um rejuvencimento artificial,
111000	125000	de um rejuvencimento facial, que eu não vou gastar tanto, que é Botox, com vitamina C e estimulador de colagem.
125000	134000	Essas três procedimentos que se passaria, então ali jogam seu rosto atual, ele tira uma foto minha,
134000	141000	no microa, joga nas máquinas e no programa, é uma dermatologista, amiga minha que fez isso pra mim,
141000	150000	e saia a foto de como você vai ficar, depois de tantos ML de Botox, depois de tantas sessões de colagem,
150000	157000	depois de tantas, então ali eu não estou mentindo, é uma pessoa que daqui uns dias,
157000	163000	é que eu não posso hoje, daqui uns dias vai por esses três procedimentos e vai se tornar aquela pessoa,
163000	170000	por isso que estou usando ela, o que que a faz, ela só troca a minha roupa, o meu rosto,
170000	177000	com o procedimento desse profissional, ele vai ficar exatamente do aquele jeito,
177000	182000	não vai ficar lisinho igual uma foto artística, porque isso não existe,
182000	189000	se você falar pra mim que tem gente que vive da imagem ou de qualquer rede social com a cara lavada,
189000	195000	escolhida, é muito rada, não vou falar pra você que não exista, pode existir uma minoria,
195000	201000	mas quem tá lá nas redes se espondo, tem que mostrar o melhor, então assim,
201000	208000	qualquer princípio, porque eu já cantei, das pessoas só que você não é você,
208000	213000	não é você não, eu não estou armada, porque se você me dá um banho de salão,
213000	219000	se você colocar meu mega herde volta, se você fazer esse rejuvencimento,
219000	225000	você é a mulher da foto, porque eu já imagueci os 15 quilos, entende?
225000	228000	Então assim, não tem como você falar que não sou eu,
